customer_id,business_name,state,business_type,years_in_business,annual_revenue,employee_count,payroll,coverage_limit,deductible
1,Biz_1,Texas,Office,18,,115,1207094,500000,500
2,Biz_2,FL,Office,3,4063960,32,124040,100000,2500
3,Biz_3,tx,Office,34,3264908,91,668406,1000000,2500
4,Biz_4,FL,Restaurant,16,4260538,82,1571714,100000,5000
5,Biz_5,FL,Office,27,1612818,73,418034,100000,5000
6,Biz_6,CA,Restaurant,29,2275504,118,756254,500000,1000
7,Biz_7,tx,Contractor,28,3225187,24,1033255,1000000,2500
8,Biz_8,tx,Restaurant,5,4604299,113,790756,1000000,500
9,Biz_9,tx,Contractor,34,4660456,100,1911331,100000,5000
10,Biz_10,FL,Office,36,4098502,45,795543,250000,500
11,Biz_11,Texas,Office,23,3621581,75,955614,500000,500
12,Biz_12,tx,Contractor,28,4246238,-1,540677,500000,2500
13,Biz_13,florida,Retail,30,425523,23,1695041,500000,2500
14,Biz_14,FL,Contractor,34,3599865,-2,1352147,500000,5000
15,Biz_15,CA,Retail,32,4199790,4,997083,1000000,2500
16,Biz_16,Texas,Restaurant,20,1039458,50,1732682,1000000,2500
17,Biz_17,florida,Restaurant,31,3772811,11,1171459,250000,2500
18,Biz_18,florida,Restaurant,22,2317336,68,1791822,500000,500
19,Biz_19,CA,Office,32,4160435,11,762501,500000,5000
20,Biz_20,Texas,Restaurant,2,2763642,118,1966197,100000,1000
21,Biz_21,FL,Retail,17,,78,387952,1000000,500
22,Biz_22,NY,Restaurant,24,,82,112221,500000,2500
23,Biz_23,Texas,Contractor,30,2419862,63,1030117,250000,500
24,Biz_24,CA,Contractor,2,197775,28,799666,250000,2500
25,Biz_25,florida,Office,39,2386488,0,260669,1000000,2500
26,Biz_26,FL,Contractor,23,787494,47,759224,250000,500
27,Biz_27,Texas,Retail,31,,60,839873,250000,5000
28,Biz_28,NY,Restaurant,21,3943334,71,525134,1000000,2500
29,Biz_29,NY,Office,22,3009758,101,1583818,500000,5000
30,Biz_30,tx,Restaurant,1,533636,37,1389959,500000,1000
31,Biz_31,tx,Restaurant,26,3038370,106,244761,250000,2500
32,Biz_32,CA,Retail,1,4232406,69,832946,250000,5000
33,Biz_33,Texas,Contractor,25,4268764,109,874668,500000,5000
34,Biz_34,Texas,Contractor,16,3235658,105,1932587,1000000,1000
35,Biz_35,florida,Restaurant,39,1776203,115,137541,250000,5000
36,Biz_36,florida,Office,32,2276360,17,947609,100000,5000
37,Biz_37,florida,Contractor,8,4408249,49,1877109,1000000,1000
38,Biz_38,tx,Office,38,4426219,74,64323,250000,2500
39,Biz_39,Texas,Contractor,28,2534629,89,616210,250000,5000
40,Biz_40,Texas,Office,25,525830,69,1237715,100000,5000
41,Biz_41,NY,Retail,34,1332397,112,1229024,100000,5000
42,Biz_42,tx,Office,24,2136233,10,1749523,500000,500
43,Biz_43,FL,Retail,23,718216,2,954480,1000000,1000
44,Biz_44,tx,Retail,12,4999801,-2,235659,1000000,500
45,Biz_45,FL,Office,6,517313,98,389678,500000,1000
46,Biz_46,NY,Retail,35,3665060,-2,854016,1000000,2500
47,Biz_47,CA,Restaurant,19,3462565,50,1153113,1000000,2500
48,Biz_48,Texas,Retail,0,1337682,19,864909,1000000,5000
49,Biz_49,NY,Contractor,7,1286643,61,241983,1000000,1000
50,Biz_50,Texas,Office,15,1533584,90,1615397,1000000,2500
51,Biz_51,florida,Restaurant,13,,61,788260,100000,1000
52,Biz_52,CA,Office,11,2615075,21,1050493,1000000,2500
53,Biz_53,CA,Contractor,22,4939003,87,282762,100000,500
54,Biz_54,NY,Contractor,14,4442987,26,,1000000,2500
55,Biz_55,CA,Contractor,27,26790,44,786275,500000,500
56,Biz_56,FL,Retail,33,1691738,55,1416012,250000,2500
57,Biz_57,CA,Retail,1,2908873,116,1558506,100000,5000
58,Biz_58,Texas,Office,31,448345,45,571650,1000000,500
59,Biz_59,Texas,Office,22,749074,13,282272,500000,2500
60,Biz_60,Texas,Restaurant,21,3685501,15,385925,250000,5000
61,Biz_61,Texas,Restaurant,24,1879490,-1,766641,100000,500
62,Biz_62,FL,Office,21,3887857,76,714743,250000,5000
63,Biz_63,tx,Retail,21,4984445,86,589833,500000,1000
64,Biz_64,florida,Contractor,5,3176083,36,1130756,100000,1000
65,Biz_65,NY,Office,14,1454908,55,1660822,250000,500
66,Biz_66,Texas,Restaurant,36,2253694,16,403081,1000000,2500
67,Biz_67,CA,Retail,32,3319144,15,919723,100000,500
68,Biz_68,Texas,Office,7,305062,64,301953,250000,5000
69,Biz_69,CA,Office,4,4949499,-5,378892,500000,2500
70,Biz_70,florida,Retail,38,2387312,-1,5287,500000,1000
71,Biz_71,florida,Office,3,3693976,99,1306241,100000,2500
72,Biz_72,florida,Retail,5,4408224,6,1057088,250000,1000
73,Biz_73,CA,Contractor,31,4035493,84,656702,100000,2500
74,Biz_74,Texas,Retail,29,3388532,40,1504868,100000,2500
75,Biz_75,florida,Retail,34,1425541,28,1157448,250000,2500
76,Biz_76,FL,Retail,39,1871403,43,1985296,250000,5000
77,Biz_77,CA,Office,15,4848287,72,1820618,1000000,5000
78,Biz_78,CA,Office,12,821052,84,93070,250000,500
79,Biz_79,Texas,Retail,29,1807150,39,1652631,500000,500
80,Biz_80,CA,Office,18,2225300,21,622117,100000,1000
81,Biz_81,CA,Restaurant,16,1855567,67,944118,100000,5000
82,Biz_82,florida,Restaurant,18,1534837,20,1478050,500000,1000
83,Biz_83,Texas,Office,27,3501268,115,1011293,250000,500
84,Biz_84,florida,Office,25,3338442,41,1090654,500000,1000
85,Biz_85,florida,Retail,36,4926203,115,1417008,500000,500
86,Biz_86,Texas,Contractor,25,4454051,80,607812,1000000,5000
87,Biz_87,NY,Office,22,4809954,105,227645,500000,2500
88,Biz_88,florida,Restaurant,8,423570,50,1585083,100000,5000
89,Biz_89,FL,Retail,11,2373139,88,786667,500000,1000
90,Biz_90,FL,Office,0,858158,101,1353649,100000,1000
91,Biz_91,CA,Restaurant,0,,57,1175885,100000,5000
92,Biz_92,FL,Restaurant,33,52528,42,1378164,100000,5000
93,Biz_93,CA,Contractor,31,1873421,55,1712503,250000,500
94,Biz_94,NY,Retail,24,2598260,75,888266,1000000,1000
95,Biz_95,Texas,Retail,39,1417077,20,1512584,100000,1000
96,Biz_96,Texas,Contractor,0,3295887,30,1769377,100000,5000
97,Biz_97,Texas,Contractor,15,3318230,-5,346699,250000,2500
98,Biz_98,FL,Retail,38,2252728,2,1384418,100000,1000
99,Biz_99,NY,Retail,4,2485195,107,386594,500000,2500
100,Biz_100,FL,Office,21,4260507,93,772608,500000,5000
101,Biz_101,FL,Office,28,160775,119,1709351,1000000,5000
102,Biz_102,NY,Contractor,2,2667867,46,1740095,100000,500
103,Biz_103,NY,Office,11,1563299,73,,250000,1000
104,Biz_104,NY,Restaurant,25,3469401,41,1044027,500000,2500
105,Biz_105,NY,Office,15,3775803,50,137023,250000,500
106,Biz_106,Texas,Office,36,1344027,80,1135964,250000,1000
107,Biz_107,tx,Restaurant,21,4166500,8,532295,500000,500
108,Biz_108,tx,Contractor,28,791267,84,1306378,250000,5000
109,Biz_109,NY,Restaurant,13,497562,22,1483624,500000,1000
110,Biz_110,tx,Office,27,3848693,81,,250000,500
111,Biz_111,tx,Contractor,4,4578238,72,1956109,500000,500
112,Biz_112,NY,Office,29,4037776,82,948027,100000,2500
113,Biz_113,tx,Restaurant,4,2004168,-4,351005,1000000,500
114,Biz_114,FL,Restaurant,11,4010912,103,1828130,500000,1000
115,Biz_115,CA,Office,15,4511732,20,873172,500000,1000
116,Biz_116,CA,Retail,25,4885211,8,1588388,1000000,2500
117,Biz_117,NY,Retail,25,2179996,53,522244,500000,1000
118,Biz_118,Texas,Restaurant,20,1600396,50,1461074,500000,5000
119,Biz_119,NY,Restaurant,38,3311149,109,679290,250000,1000
120,Biz_120,Texas,Retail,35,122402,1,1966157,1000000,1000
121,Biz_121,CA,Retail,32,1166588,-3,499097,100000,500
122,Biz_122,NY,Office,29,4632965,105,,500000,500
123,Biz_123,florida,Office,36,,17,1855619,1000000,1000
124,Biz_124,FL,Retail,22,2677618,104,1196632,250000,2500
125,Biz_125,tx,Office,9,4767999,101,1062636,100000,500
126,Biz_126,Texas,Office,4,4657860,105,1786921,1000000,2500
127,Biz_127,florida,Contractor,35,575278,118,1525848,100000,1000
128,Biz_128,tx,Office,33,1178049,103,1567121,100000,1000
129,Biz_129,tx,Restaurant,30,3080201,12,829735,100000,5000
130,Biz_130,NY,Office,9,4672311,116,1238855,500000,500
131,Biz_131,tx,Office,18,3562737,32,730406,500000,1000
132,Biz_132,FL,Retail,31,3464442,93,,250000,5000
133,Biz_133,florida,Restaurant,0,1274732,109,1088287,250000,500
134,Biz_134,tx,Office,4,3314692,9,1191602,1000000,1000
135,Biz_135,NY,Office,3,4193398,58,,250000,1000
136,Biz_136,FL,Contractor,15,4719607,83,465317,100000,500
137,Biz_137,CA,Office,23,1110389,113,989024,100000,500
138,Biz_138,florida,Office,15,27712,95,218134,500000,500
139,Biz_139,tx,Contractor,1,4071647,22,1151550,100000,1000
140,Biz_140,NY,Retail,27,3912942,68,1198222,1000000,1000
141,Biz_141,CA,Office,31,112816,33,1450976,100000,5000
142,Biz_142,CA,Contractor,26,1635156,51,1198744,100000,2500
143,Biz_143,Texas,Restaurant,19,135230,11,1640592,1000000,500
144,Biz_144,FL,Retail,23,1766616,97,689376,250000,1000
145,Biz_145,tx,Restaurant,11,4463418,80,1584110,250000,1000
146,Biz_146,NY,Restaurant,34,1383194,84,438774,1000000,500
147,Biz_147,Texas,Contractor,32,3101360,38,511937,500000,2500
148,Biz_148,FL,Office,32,1881548,19,411597,100000,500
149,Biz_149,Texas,Contractor,36,4345760,11,914228,1000000,2500
150,Biz_150,florida,Contractor,11,3251298,7,953959,100000,1000
151,Biz_151,FL,Contractor,2,4465150,78,92263,500000,2500
152,Biz_152,FL,Contractor,0,404,19,921522,100000,5000
153,Biz_153,tx,Retail,32,4897590,62,,1000000,1000
154,Biz_154,FL,Office,39,1323483,4,853938,100000,5000
155,Biz_155,Texas,Restaurant,9,1722320,61,1614021,250000,500
156,Biz_156,FL,Restaurant,28,4909764,99,,500000,500
157,Biz_157,tx,Office,12,2332517,103,1272386,500000,500
158,Biz_158,tx,Restaurant,11,4537090,12,1145222,500000,2500
159,Biz_159,florida,Office,30,3196340,105,345266,1000000,1000
160,Biz_160,Texas,Restaurant,1,163273,94,1859527,500000,500
161,Biz_161,CA,Contractor,34,3854418,105,1538601,250000,500
162,Biz_162,CA,Restaurant,22,3652692,80,480703,1000000,1000
163,Biz_163,FL,Office,16,1087341,28,,250000,500
164,Biz_164,florida,Office,25,3977266,105,343054,100000,5000
165,Biz_165,NY,Office,7,3031756,2,906862,100000,1000
166,Biz_166,FL,Office,28,843523,34,1906332,100000,1000
167,Biz_167,florida,Office,25,546237,107,1316128,100000,1000
168,Biz_168,Texas,Retail,9,4895207,102,1107955,250000,5000
169,Biz_169,Texas,Retail,25,4040479,77,1073629,1000000,1000
170,Biz_170,Texas,Restaurant,33,92193,36,1451238,1000000,5000
171,Biz_171,Texas,Office,6,3181915,35,1704858,500000,1000
172,Biz_172,Texas,Restaurant,3,4700254,95,98723,250000,2500
173,Biz_173,florida,Office,10,,0,575644,100000,500
174,Biz_174,florida,Office,28,3008038,46,1321509,250000,2500
175,Biz_175,tx,Retail,35,,20,1932728,500000,500
176,Biz_176,CA,Retail,24,3334817,58,853088,500000,5000
177,Biz_177,Texas,Contractor,20,3582069,92,1879036,250000,2500
178,Biz_178,NY,Retail,35,2715514,53,1899492,250000,1000
179,Biz_179,florida,Contractor,9,4881713,50,1080730,250000,500
180,Biz_180,NY,Contractor,36,2658571,53,1262518,1000000,500
181,Biz_181,NY,Contractor,8,4834357,103,264480,100000,2500
182,Biz_182,NY,Contractor,23,1679748,64,1414397,250000,5000
183,Biz_183,tx,Contractor,34,2223069,95,1902787,250000,2500
184,Biz_184,florida,Restaurant,34,3445498,115,281173,250000,5000
185,Biz_185,NY,Retail,35,4892472,27,845633,500000,5000
186,Biz_186,Texas,Contractor,17,481680,47,1080841,500000,500
187,Biz_187,FL,Office,38,,16,1413636,1000000,2500
188,Biz_188,NY,Retail,31,2961293,15,1291898,100000,2500
189,Biz_189,tx,Retail,23,4100673,64,1034057,1000000,5000
190,Biz_190,florida,Contractor,22,1534026,64,,100000,2500
191,Biz_191,tx,Restaurant,31,315826,113,1619061,500000,1000
192,Biz_192,NY,Contractor,36,3467366,106,1960741,500000,1000
193,Biz_193,florida,Restaurant,11,327359,-2,1496972,500000,2500
194,Biz_194,FL,Office,12,3748603,88,1203358,1000000,2500
195,Biz_195,NY,Retail,22,4201253,69,1733422,250000,5000
196,Biz_196,tx,Office,24,2860337,56,1120483,250000,1000
197,Biz_197,CA,Restaurant,34,317537,56,1963884,500000,1000
198,Biz_198,Texas,Restaurant,29,550222,88,202967,250000,500
199,Biz_199,tx,Office,16,4975026,89,1899443,250000,5000
200,Biz_200,florida,Restaurant,19,2573619,18,1351351,1000000,500
136,Biz_136,FL,Contractor,15,4719607,83,465317,100000,500
182,Biz_182,NY,Contractor,23,1679748,64,1414397,250000,5000
27,Biz_27,Texas,Retail,31,,60,839873,250000,5000
196,Biz_196,tx,Office,24,2860337,56,1120483,250000,1000
30,Biz_30,tx,Restaurant,1,533636,37,1389959,500000,1000
184,Biz_184,florida,Restaurant,34,3445498,115,281173,250000,5000
176,Biz_176,CA,Retail,24,3334817,58,853088,500000,5000
155,Biz_155,Texas,Restaurant,9,1722320,61,1614021,250000,500
88,Biz_88,florida,Restaurant,8,423570,50,1585083,100000,5000
19,Biz_19,CA,Office,32,4160435,11,762501,500000,5000
